analysis,angular_win_rate_vs_dot_competitor,cands_checkpoint,cosine_mean_rank,cosine_median_rank,cosine_minus_dot_ndcg@10,cosine_minus_dot_ndcg@100,cosine_minus_dot_ndcg@20,cosine_minus_dot_ndcg@5,cosine_minus_dot_ndcg@50,cosine_minus_dot_recall@10,cosine_minus_dot_recall@100,cosine_minus_dot_recall@20,cosine_minus_dot_recall@5,cosine_minus_dot_recall@50,cosine_ndcg@10,cosine_ndcg@100,cosine_ndcg@20,cosine_ndcg@5,cosine_ndcg@50,cosine_recall@10,cosine_recall@100,cosine_recall@20,cosine_recall@5,cosine_recall@50,dataset,dot_mean_rank,dot_median_rank,dot_ndcg@10,dot_ndcg@100,dot_ndcg@20,dot_ndcg@5,dot_ndcg@50,dot_recall@10,dot_recall@100,dot_recall@20,dot_recall@5,dot_recall@50,group,head_competitor_rate,hidden_size,item_norm_pearson_logpop_all,item_norm_spearman_pop_all,max_item_list_length,mean_competitor_to_target_norm_ratio,mean_item_norm,mean_log1p_popularity,mean_seq_norm,mean_target_cos_minus_competitor_cos,median_item_norm,model,n,p90_item_norm,radial_displacement_rate,rank_recovery@10,rank_recovery@100,rank_recovery@20,rank_recovery@5,rank_recovery@50,rank_regression@10,rank_regression@100,rank_regression@20,rank_regression@5,rank_regression@50,sasrec_checkpoint,seed,temperature
item_norm_population,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Sports/seed2025/CANDSSASRec-Sep-08-2026_12-27-11.pth,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,,,,,,,,all,,256,-0.8288102512236993,-0.8424823536710366,50,,0.8897950649261475,2.045609077865448,,,0.8878858089447021,SASRec,18229,1.0373884916305542,,,,,,,,,,,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Sports/seed2025/SASRec-Sep-08-2026_12-27-13.pth,2025,10.0
item_norm_population,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Sports/seed2025/CANDSSASRec-Sep-08-2026_12-27-11.pth,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,,,,,,,,head,,256,-0.8288102512236993,-0.8424823536710366,50,,0.7788580656051636,2.902729284607658,,,0.7766004800796509,SASRec,6077,0.8655533909797669,,,,,,,,,,,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Sports/seed2025/SASRec-Sep-08-2026_12-27-13.pth,2025,10.0
item_norm_population,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Sports/seed2025/CANDSSASRec-Sep-08-2026_12-27-11.pth,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,,,,,,,,mid,,256,-0.8288102512236993,-0.8424823536710366,50,,0.8946169018745422,1.9016451229571552,,,0.8906484842300415,SASRec,6076,0.9764591157436371,,,,,,,,,,,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Sports/seed2025/SASRec-Sep-08-2026_12-27-13.pth,2025,10.0
item_norm_population,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Sports/seed2025/CANDSSASRec-Sep-08-2026_12-27-11.pth,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,,,,,,,,tail,,256,-0.8288102512236993,-0.8424823536710366,50,,0.9959285259246826,1.3323117595063918,,,0.9882599115371704,SASRec,6076,1.1056278347969055,,,,,,,,,,,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Sports/seed2025/SASRec-Sep-08-2026_12-27-13.pth,2025,10.0
item_norm_population,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Sports/seed2025/CANDSSASRec-Sep-08-2026_12-27-11.pth,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,,,,,,,,all,,256,-0.1704010303280594,-0.15895581979930345,50,,1.3188050985336304,2.045609077865448,,,1.3209822177886963,CANDSSASRec,18229,1.4180298805236817,,,,,,,,,,,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Sports/seed2025/SASRec-Sep-08-2026_12-27-13.pth,2025,10.0
item_norm_population,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Sports/seed2025/CANDSSASRec-Sep-08-2026_12-27-11.pth,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,,,,,,,,head,,256,-0.1704010303280594,-0.15895581979930345,50,,1.3009604215621948,2.902729284607658,,,1.302716851234436,CANDSSASRec,6077,1.4015180349349976,,,,,,,,,,,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Sports/seed2025/SASRec-Sep-08-2026_12-27-13.pth,2025,10.0
item_norm_population,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Sports/seed2025/CANDSSASRec-Sep-08-2026_12-27-11.pth,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,,,,,,,,mid,,256,-0.1704010303280594,-0.15895581979930345,50,,1.3268450498580933,1.9016451229571552,,,1.3284482955932617,CANDSSASRec,6076,1.419112503528595,,,,,,,,,,,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Sports/seed2025/SASRec-Sep-08-2026_12-27-13.pth,2025,10.0
item_norm_population,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Sports/seed2025/CANDSSASRec-Sep-08-2026_12-27-11.pth,,,,,,,,,,,,,,,,,,,,,,,Sports,,,,,,,,,,,,,tail,,256,-0.1704010303280594,-0.15895581979930345,50,,1.3286126852035522,1.3323117595063918,,,1.33051598072052,CANDSSASRec,6076,1.4315579533576965,,,,,,,,,,,,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Sports/seed2025/SASRec-Sep-08-2026_12-27-13.pth,2025,10.0
within_model_counterfactual,0.003202427178621292,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Sports/seed2025/CANDSSASRec-Sep-08-2026_12-27-11.pth,3813.635457048149,1763.0,-0.0004659097191748139,0.0005291156166728067,-4.660062571121282e-05,-0.0006513768603130868,0.00022249179488663395,-0.0014045732906343075,0.0035395246923984602,0.00022473172650147588,-0.001938311141075344,0.0016012135513231163,0.01966871928222787,0.040680741736712156,0.025279271216707977,0.014321706026518548,0.033342500782000545,0.042361930445530646,0.15096353727737513,0.06463846283499072,0.02581605708185853,0.10551154559244902,Sports,3869.764677790887,1759.0,0.020134629001402685,0.04015162612003935,0.02532587184241919,0.014973082886831635,0.03312000898711391,0.043766503736164954,0.14742401258497667,0.06441373110848925,0.027754368222933874,0.1039103320411259,all,0.6446710228919983,256,,,50,0.9845325946807861,,,22.447832107543945,-0.4775988757610321,,SASRec,35598,,0.002556323306635022,0.007388055324554443,0.017191976308822632,0.009354458190500736,0.004916006699204445,0.013118714094161987,0.008792628534138203,0.013652452267706394,0.009129726327955723,0.006854317616671324,0.011517501436173916,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Sports/seed2025/SASRec-Sep-08-2026_12-27-13.pth,2025,10.0
within_model_counterfactual,0.00564943253993988,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Sports/seed2025/CANDSSASRec-Sep-08-2026_12-27-11.pth,2055.9533921815887,583.0,0.0021709472149761336,0.005337289462837763,0.0028004071594491045,0.0013770492846410728,0.0042215273998680095,0.0035813366960908005,0.02027742749054226,0.006002522068095831,0.001210592686002522,0.013266078184110963,0.03320330691058661,0.0668494011273841,0.04216223766080447,0.024208176234331604,0.055339741521820245,0.07142496847414881,0.24509457755359396,0.10698612862547288,0.04363177805800757,0.1737704918032787,Sports,2019.9979319041613,678.0,0.031032359695610474,0.06151211166454634,0.03936183050135537,0.02283112694969053,0.051118214121952235,0.06784363177805801,0.2248171500630517,0.10098360655737705,0.042421185372005045,0.16050441361916773,head,0.6800000071525574,256,,,50,1.0786805152893066,,,22.41724395751953,-0.4163995385169983,,SASRec,19825,,0.004539722576737404,0.012963430024683475,0.03041614033281803,0.016645649448037148,0.008776796981692314,0.02320302650332451,0.009382093325257301,0.010138713754713535,0.010643127374351025,0.00756620429456234,0.00993694830685854,/home/ssh_user/code/25-HuangQiuyu/CaNDSRec/ckpt/www27_matched_seed_grid/Sports/seed2025/SASRec-Sep-08-2026_12-27-13.pth,2025,10.0
