dataset,delta_ndcg@100_mean,delta_ndcg@100_std,delta_ndcg@10_mean,delta_ndcg@10_std,delta_ndcg@20_mean,delta_ndcg@20_std,delta_ndcg@50_mean,delta_ndcg@50_std,delta_ndcg@5_mean,delta_ndcg@5_std,delta_recall@100_mean,delta_recall@100_std,delta_recall@10_mean,delta_recall@10_std,delta_recall@20_mean,delta_recall@20_std,delta_recall@50_mean,delta_recall@50_std,delta_recall@5_mean,delta_recall@5_std,group,paired_seeds,positive_seed_fraction_ndcg@10,positive_seed_fraction_ndcg@100,positive_seed_fraction_ndcg@20,positive_seed_fraction_ndcg@5,positive_seed_fraction_ndcg@50,positive_seed_fraction_recall@10,positive_seed_fraction_recall@100,positive_seed_fraction_recall@20,positive_seed_fraction_recall@5,positive_seed_fraction_recall@50
Beauty,0.009903800810785962,0.0016244112173098711,0.006658786756055632,0.0007378762130901191,0.008086250406606555,0.0007514772251722548,0.009879081725932513,0.0010797972648491064,0.005264513901805237,0.001646784210119156,0.025294757709907734,0.013277578052721443,0.010568051394416378,0.00376054939070729,0.01624707478126072,0.007289556816942277,0.02517551312435719,0.00975890541312339,0.006305057460984663,0.0011017023650453793,all,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Beauty,0.013508332578142887,0.004022486147275044,0.011744037500582165,0.0008422603663095604,0.012848101398698375,0.0027756985273419783,0.013976844157445942,0.0034589327250309203,0.010580260482648022,0.0010077191174142758,0.023740195692662835,0.02206491778439445,0.016657485375514813,0.007850899659546285,0.0210907373888408,0.015465269128979912,0.026704441121691447,0.01834316015957352,0.013142362477374672,0.002249406772323357,head,3,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0
Beauty,0.0087796050200149,0.0015642351815614943,0.0029316856541032736,0.0021864098276560186,0.0053424900088807304,0.002979536183327668,0.008233736267218605,0.0025106987686423408,0.0014808289167380008,0.002104770986703902,0.034664116662682286,0.0013310457477480296,0.007331261455096022,0.0031564749892960997,0.01697346402103753,0.006338548211122567,0.031237548808670013,0.004358119025858744,0.002868754482428878,0.003135280193307195,mid,3,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0
Beauty,0.002483082748232382,0.0018363262035985223,-0.00238474083481894,0.0025275755831752037,-0.0009049919153810744,0.002594343608755522,0.0016828552439999873,0.0023197991492817202,-0.004340980277743584,0.003725620449954334,0.02255069168087929,0.0022975849257119776,-0.0011370096645821487,0.002549483427529601,0.004611205861916494,0.002558856559980939,0.01762364980102331,0.0029418561107182155,-0.007201061209020276,0.005956503181922195,tail,3,0.3333333333333333,1.0,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.0,1.0
Sports,0.00955249500534236,0.00033874857245014245,0.006993154079111109,0.00016714131332879156,0.007828057754531938,6.832579156031519e-05,0.008801221781211324,0.0005165028398394875,0.005816615567206113,0.00031160925213325423,0.024392756147349093,0.0008225252825438906,0.011367679832200312,0.0004263367768912939,0.014738655729722638,0.0009082424595375913,0.01970148135663052,0.0019146211089210359,0.00767833398880087,0.0002594978455821649,all,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Sports,0.014058988437809644,0.001162635648204887,0.012035720837636862,0.0006731818586374245,0.012983294607272662,0.0010479326218493703,0.01367569295388997,0.0011916723259598745,0.010387490016040698,0.0004277806811089251,0.028701134930643146,0.003938627433299352,0.01891551071878941,0.0019161079357601582,0.022732240437158466,0.003776482930001902,0.02626313577133248,0.004376884296990258,0.013720050441361918,0.0008966652627808927,head,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Sports,0.0070353767667756285,0.0017873823498843868,0.003024291265914186,0.0013511264286692071,0.003653943438016236,0.0015121150616544548,0.005746259671975072,0.0014998472419719081,0.001835814428671113,0.001140693949850926,0.028266666666666673,0.005309256950496104,0.007030303030303032,0.0024741528867244754,0.009503030303030303,0.003396708826790203,0.02021818181818182,0.003150022956757486,0.0033939393939393936,0.001964085246111911,mid,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Sports,0.0015278236856457728,0.0008595868431574757,-0.0012326578443085238,0.00039611363356563395,-0.00045396944598235633,0.00105384230123487,0.0003158586647647027,0.0011067265332571523,-0.001354706836836114,0.0005356214610615094,0.012376237623762373,0.0025086983326016925,-0.0022002200220022,0.000952723216484531,0.0010215307245010203,0.00365457047123479,0.004911205406254913,0.004076856658054619,-0.002593116454502593,0.0012749474099943386,tail,3,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0
Toys,0.014208390189406459,0.002031834899142574,0.008406739654362819,0.001279550818347554,0.010896740460937073,0.001211924433143777,0.013047676211780159,0.0019122676497380336,0.006226780013916328,0.0011200969428133026,0.04828628339858506,0.009949818985234154,0.02058863932962428,0.004979175072616282,0.030393570987018337,0.0051638013954838895,0.04122879318634521,0.008826940686365288,0.013823064770932073,0.0037708962250150675,all,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Toys,0.02045725102100819,0.0014333302315109808,0.01530343418757133,0.0014344427395916138,0.01797289113791939,0.001487094101864105,0.019660923726624948,0.0016061697003173078,0.013368019513174956,0.0008865647058140684,0.05432994190927102,0.007419851122457366,0.030489238104831933,0.00611948361290563,0.04093213794029751,0.006030956189677106,0.049494644236258024,0.007707627213268416,0.024478694469628286,0.004025635378802884,head,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Toys,0.012126397435746929,0.0024718917259182,0.0065357091838610755,0.0011185660277122393,0.009475327272770477,0.0021718512360985633,0.011307939145498947,0.0019015149278637997,0.0046089815875406575,0.0006743314141220226,0.04233750745378653,0.013272644486625644,0.01661129568106312,0.00401641544735541,0.02828179572365619,0.008179199567990557,0.03722633955192095,0.009432609241843599,0.010733452593917711,0.003066700741119345,mid,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Toys,0.004847815043323343,0.0033375106733248235,-0.002735754935140206,0.0021442424683326064,-0.0007588138734964979,0.0023435520103488616,0.0026515276281869706,0.003070483983210362,-0.005713606472008905,0.0023523930895550296,0.044512467317135374,0.013290954051586236,0.006122058542184808,0.0048512425227112905,0.013965946049359098,0.005301858220987565,0.03124800714240164,0.011169109041602574,-0.0031885721573879206,0.005070130530017464,tail,3,0.0,1.0,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,1.0
