dataset,delta_ndcg@10,delta_ndcg@100,delta_ndcg@20,delta_ndcg@5,delta_ndcg@50,delta_recall@10,delta_recall@100,delta_recall@20,delta_recall@5,delta_recall@50,group,seed
Beauty,0.007200923098014518,0.008033059633700143,0.0075325542082269326,0.007118667760794586,0.008650824529680343,0.006707507937217735,0.009971828466663696,0.008093726244242719,0.0064392076197290204,0.013906899789831423,all,2023
Beauty,0.00581848449799971,0.01072103000442931,0.007784493796277374,0.003972083260007059,0.01030746768472482,0.010776729419129813,0.033403389527344285,0.01851272190672093,0.0051424227518669235,0.03080981979162009,all,2024
Beauty,0.006956952672152669,0.01095731279422843,0.008941703215315358,0.004702790684614065,0.010678952963392378,0.014219916826901588,0.032509055135715226,0.022134776192818506,0.007333542011358045,0.030809819791620063,all,2025
Beauty,0.010833546412439207,0.008876485401234327,0.009660865635624807,0.011680121741392449,0.010038905251171612,0.007869678130164481,-0.001731329188636166,0.003383961595970736,0.010545368694420396,0.005666168253718407,head,2023
Beauty,0.011903213781701366,0.016124070446348435,0.014149061702805388,0.010359308162951462,0.01652347568665183,0.019123317856299685,0.03698748721177303,0.027937357362083887,0.014401510978200985,0.03934839065082238,head,2024
Beauty,0.012495352307605921,0.015524441886845902,0.014734376857664933,0.009701351543600155,0.015368151534514388,0.022979460140080274,0.03596442905485164,0.03195089320846778,0.014480207759502636,0.03509876446053356,head,2025
Beauty,0.005121924808598983,0.01029632525851161,0.008424414644929476,0.0028006063059724754,0.010602406260936576,0.010757829309108298,0.03346880229500358,0.023906287353573988,0.0033468802295003597,0.03514224240975378,mid,2023
Beauty,0.0007491253800556985,0.0071718324615854465,0.002477163212683653,-0.0009464594606390792,0.005601761759808997,0.004542194597179056,0.03609849390389672,0.011475017929715517,-0.00047812574707148045,0.02653597896246712,mid,2024
Beauty,0.0029240067736551398,0.008870657339947643,0.0051258921690290615,0.0025883399048806065,0.008497040780910244,0.006693760459000712,0.03442505378914655,0.015539086779823089,0.005737508964857755,0.032034425053789145,mid,2025
Beauty,0.0003690273836770893,0.004506402129732301,0.0019803986482764078,-0.00017803221737868087,0.004082651988081554,0.0009475080538184563,0.019897669130187617,0.007201061209020282,-0.0007580064430547651,0.01743414819025961,tail,2023
Beauty,-0.004599007041895881,0.0009221253819387785,-0.0030451896930174596,-0.007361946363318736,-0.0005476738976813236,-0.00397953382603752,0.023877202956225127,0.002084517718400604,-0.012507106310403639,0.01478112563956794,tail,2024
Beauty,-0.002924242846238028,0.002020720733026067,-0.0016501847014021714,-0.005482962252533336,0.001513587641599732,-0.00037900322152738253,0.023877202956225127,0.004548038658328597,-0.008338070873602424,0.020655675573242376,tail,2025
Sports,0.006962211225944235,0.009433243664484378,0.007904919137698998,0.005564364758975315,0.008503861718999639,0.011826507107140852,0.02452384965447496,0.0155626720602281,0.007528512837799879,0.018652733299623567,all,2023
Sports,0.00684364634489024,0.009289498708734557,0.007774210849873259,0.0057205305455417365,0.00850217652979076,0.010983763132760269,0.02351255688521825,0.01488847688072363,0.007528512837799879,0.01854036743637283,all,2024
Sports,0.007173604666498853,0.009934742642808143,0.007805043276023556,0.006164951397101284,0.009397627094843576,0.011292769256699815,0.025141861902354068,0.013764818248216182,0.007977976290802852,0.02191134333389516,all,2025
Sports,0.012686758319310473,0.014923086212197817,0.014178081128978046,0.010635918654842421,0.014147734867663353,0.021084489281210594,0.03192938209331653,0.027036569987389653,0.014728877679697355,0.026935687263556107,head,2023
Sports,0.011342389015343457,0.012737151414203382,0.012219989756711902,0.009893534273889615,0.012320312690886834,0.017452711223203035,0.024312736443884014,0.02118537200504414,0.013013871374527114,0.021588902900378293,head,2024
Sports,0.012078015178256657,0.014516727687027733,0.012551812936128039,0.010633017119390058,0.014559031303119724,0.018209331651954597,0.02986128625472889,0.01997477931904161,0.013417402269861288,0.030264817150063045,head,2025
Sports,0.0014653328243428836,0.005038105515439473,0.0019266977966675303,0.0005513799123049272,0.004014404673429301,0.004218181818181819,0.022981818181818187,0.0058181818181818196,0.0014545454545454549,0.016581818181818184,mid,2023
Sports,0.0037510537024789802,0.008484474739502607,0.004296299834410537,0.0022253388553336445,0.006605084547805893,0.008,0.033600000000000005,0.01018181818181818,0.0033454545454545456,0.021963636363636366,mid,2024
Sports,0.0038564872709206943,0.007583550045384805,0.00473883268297064,0.002730724518374767,0.0066192897946900225,0.008872727272727275,0.028218181818181823,0.012509090909090907,0.00538181818181818,0.02210909090909091,mid,2025
Sports,-0.0016205034920467503,0.0006267619510663264,-0.0015237145533086053,-0.0019528014544252814,-0.0006314717595830785,-0.003064592173503064,0.009665252239509661,-0.0025931164545025948,-0.004007543611504008,0.001885902876001884,tail,2023
Sports,-0.0008287640085247751,0.002338847762007379,0.0005832154108206282,-0.0009192686527682305,0.0015323343640375464,-0.0011786892975011783,0.01461574728901461,0.004714757190004713,-0.0015322960867515329,0.009547383309759551,tail,2024
Sports,-0.0012487060323540461,0.0016178613438636129,-0.0004214091954590918,-0.0011920504033148304,4.6713389839640046e-05,-0.0023573785950023584,0.01284771334276285,0.000942951438000942,-0.0022395096652522385,0.003300330033003302,tail,2025
Toys,0.006979504461760648,0.011865628576926454,0.009518315561432858,0.00516942628334769,0.01084077139202836,0.015454358128992374,0.038120750051514524,0.02544817638574079,0.009787760148361843,0.03193900679991757,all,2023
Toys,0.009451265206872693,0.01527043629076609,0.011795044825814949,0.007400530113523034,0.014213945033936866,0.020914898001236346,0.048732742633422615,0.02998145477024519,0.014424067587059552,0.042241912219245836,all,2024
Toys,0.008789449294455118,0.015489105700526834,0.011376860995563412,0.006110383644878259,0.014088312209375252,0.02539666185864413,0.058005357510818034,0.03575108180506903,0.017257366577374825,0.04950546053987223,all,2025
Toys,0.013807442498017061,0.018832352863547133,0.016447553678973874,0.012741923970201414,0.017868059082258525,0.024075752996877198,0.04754709378462779,0.034552231288405344,0.02085222121486853,0.04170444242973709,head,2023
Toys,0.01666716749406045,0.021542124467175017,0.019418537242604707,0.014382494583743168,0.020968462338535082,0.03112722877002115,0.05318827440314294,0.04170444242973709,0.023773546892313896,0.04966253651657099,head,2024
Toys,0.015435692570636476,0.020997275732302423,0.018052582492179586,0.012979639985580285,0.020146249759081233,0.03626473254759745,0.06225445754004233,0.04653974010275008,0.02881031530170243,0.057116953762466005,head,2025
Toys,0.006267525523479256,0.009756535274166901,0.009699650334580756,0.0039462809894496124,0.009612084567486676,0.014822386915410171,0.027855865065167407,0.02811142346026066,0.007666751852798366,0.027089189879887565,mid,2023
Toys,0.005575612684019127,0.011933626188021712,0.0072000205399202835,0.004586292631645242,0.010948051482384938,0.01380015333503705,0.04523383593151037,0.020189113212369034,0.010733452593917711,0.038844876054178384,mid,2024
Toys,0.007763989344084843,0.014689030845052173,0.011526310943810389,0.005294371141527119,0.013363681386625227,0.021211346792742142,0.05392282136468182,0.036544850498338874,0.013800153335037056,0.0457449527216969,mid,2025
Toys,-0.004994292795005181,0.0009966505703173228,-0.0031490444713704636,-0.007955227425207661,-0.0008699550717622476,0.0005739429883298286,0.03041897838148075,0.007843887507174296,-0.00899177348383394,0.019131432944327537,tail,2023
Toys,-0.000727833164394856,0.006897399884433331,0.001535089071871991,-0.003264223500427984,0.004768978364946032,0.008226516166060835,0.04629806772527262,0.0170269753204515,0.0003826286588865524,0.03348000765257318,tail,2024
Toys,-0.0024851388460205813,0.006649394675219376,-0.000662486220991021,-0.005921368490391071,0.004055559591377128,0.009565716472163761,0.05682035584465275,0.0170269753204515,-0.0009565716472163741,0.0411325808303042,tail,2025
