dataset,group,model,n_per_seed,ndcg@100_mean,ndcg@100_std,ndcg@10_mean,ndcg@10_std,ndcg@20_mean,ndcg@20_std,ndcg@50_mean,ndcg@50_std,ndcg@5_mean,ndcg@5_std,recall@100_mean,recall@100_std,recall@10_mean,recall@10_std,recall@20_mean,recall@20_std,recall@50_mean,recall@50_std,recall@5_mean,recall@5_std,seeds
Beauty,all,CANDSSASRec,22363,0.07791190430951267,0.0003176860650734915,0.04602929691134825,0.0010391562087914887,0.055684862779342564,0.0008446372175758002,0.06886146482463455,0.0004254422628885732,0.03639231637963286,0.0011411527616719001,0.24938514510575505,0.004849445257356133,0.0887328772227936,0.001108337369465715,0.12711472819687283,0.002629302551693682,0.1935488679217159,0.0030774504279182427,0.05887701411557781,0.0006469774304047064,3
Beauty,head,CANDSSASRec,12707,0.11153852484730349,0.0007942169611510931,0.06938875831234753,0.0010543306658013856,0.08273390894813915,0.0006783663487773115,0.1001287314742384,0.00043753034965119265,0.05589452749342597,0.0014239181277687861,0.34185881797434486,0.00895312082913177,0.1306891214815981,0.001181325804590408,0.1837569843393405,0.004742093301387526,0.27150389549067444,0.00688630562755447,0.08879620156868917,0.0002979412054143545,3
Beauty,mid,CANDSSASRec,4183,0.042562167697932536,0.001026271014843469,0.020433131074433526,0.0012955350656139813,0.02640882972051649,0.001585415050540669,0.035454206797228514,0.0015669859122757015,0.015889399067807782,0.0009612157517294942,0.15555024304725476,0.001077994203400168,0.04231412861582596,0.0026941017617940826,0.06614072834488803,0.00365174571277061,0.11164236194119054,0.0037571679764527195,0.02828910670172922,0.0015917590529474998,3
Beauty,tail,CANDSSASRec,5277,0.027854146931683626,0.0009152310944886259,0.011779122165837675,0.0009072553853138826,0.015825785599680356,0.000955934607707932,0.02260909607681419,0.0011257671091925276,0.007035105938625345,0.0007729877055663392,0.11035310466805635,0.0008955496733470956,0.02779356957867475,0.001422314477821705,0.04377487208641273,0.0018663744176229133,0.0779483292274651,0.002369401722381536,0.013265112753458404,0.0009475080538184572,3
Beauty,all,SASRec,22363,0.06800810349872671,0.001539389579159642,0.03937051015529263,0.00042961620877994425,0.047598612372736,0.0009417706652662358,0.058982383098702046,0.0012631849523360693,0.03112780247782763,0.0005205391793263399,0.2240903873958473,0.008430771927782256,0.07816482582837724,0.003236638050207497,0.11086765341561211,0.00517639890889674,0.1683733547973587,0.006689049313237262,0.052571956654593154,0.0006104009667588808,3
Beauty,head,SASRec,12707,0.09803019226916061,0.003268158759038553,0.05764472081176538,0.0017625457452329035,0.06988580754944078,0.002871451985655617,0.08615188731679246,0.003040997443898031,0.04531426701077795,0.0007599929245268574,0.31811862228168203,0.013131833940038308,0.11403163610608326,0.0067371983082787365,0.16266624695049972,0.010909088503132727,0.24479945436898295,0.011496824963654756,0.0756538390913145,0.002438753871593395,3
Beauty,mid,SASRec,4183,0.033782562677917634,0.0005509629516680574,0.017501445420330254,0.001038225904432775,0.021066339711635757,0.0014628386480779732,0.02722047053000991,0.0009504193741851019,0.014408570151069782,0.0011622514039648039,0.12088612638457248,0.0019470542231047319,0.03498286716072994,0.0021692019425956187,0.04916726432385051,0.003263303088603595,0.08040481313252053,0.0006016283716049737,0.025420352219300345,0.001555440377396058,3
Beauty,tail,SASRec,5277,0.025371064183451243,0.00099433890605434,0.014163863000656612,0.0016490435719669668,0.01673077751506143,0.0017782355201327515,0.020926240832814205,0.001260145330262546,0.01137608621636893,0.002953361387248638,0.08780241298717706,0.0027088347725843643,0.0289305792432569,0.0012329746254780565,0.03916366622449624,0.0018405409998526283,0.06032467942644179,0.0013310155710760851,0.02046617396247868,0.005024473596195889,3
Sports,all,CANDSSASRec,35598,0.04974668048924819,0.0003173849631228602,0.02710420988111417,0.00022041693782285756,0.03329385357117403,0.0002114844061069309,0.042158749905362114,0.00033744146802956314,0.020904747082167316,0.0002421468931435371,0.17131112234769744,0.0010866472283753274,0.05475963069086278,0.00027283934086809176,0.07937711856471337,0.0010830101081803112,0.12436091915276137,0.0012700325361489192,0.0354420660336723,0.0002548955482296031,3
Sports,head,CANDSSASRec,19825,0.07569003655765577,0.00034980712075565016,0.04293621201606158,0.00022170139384979556,0.052314461420828774,0.00037036471288051713,0.06519666343217467,0.0004371952797080323,0.03330075614208756,0.00019732521375385174,0.2533501471206389,0.0011961446935238307,0.08586801176965113,0.00017714424132580898,0.12312736443883986,0.0018799137607651173,0.1884321143337537,0.0020241593335211757,0.05583858764186633,5.044136191677262e-05,3
Sports,mid,CANDSSASRec,6875,0.02523328427233122,0.0003382035575451354,0.011698442620029099,0.00035005660199293284,0.014387836167123455,0.00038258138992568853,0.019875235165119586,0.00043632000378358165,0.008779250236840218,0.0004091100507280275,0.09653333333333332,0.0009684840899606415,0.02463030303030303,0.0007464147548286378,0.035296969696969695,0.0011666627312015476,0.06332121212121213,0.0015955861984876933,0.015563636363636363,0.0008847654589524676,3
Sports,tail,CANDSSASRec,8484,0.01141543233480131,0.0003115866613357026,0.003915425166994501,0.00014210313099698093,0.005792553996905797,0.0004209755943196559,0.008439543237626199,0.0003792607003987624,0.0027843411994141753,0.0002656214171945996,0.048561999057048555,0.002010693317919848,0.009154486877259156,0.00013610331664064664,0.016737388024516738,0.0017363177584460436,0.030174446016030174,0.0013896541870051407,0.005618418984755618,0.0004907274869085648,3
Sports,all,SASRec,35598,0.04019418548390583,0.00019452682718067946,0.02011105580200306,0.00019214389813586793,0.02546579581664209,0.000253690564480596,0.03335752812415079,0.00024454229932495424,0.015088131514961205,0.00011400176445641159,0.14691836620034834,0.0006689072925327603,0.043391950858662466,0.0006007459195215248,0.06463846283499074,0.0006747801645858932,0.10465943779613086,0.0006702822318921785,0.027763732044871436,4.2910422822965125e-05,3
Sports,head,SASRec,19825,0.06163104811984613,0.0012875527168297424,0.030900491178424718,0.0008424479364056214,0.03933116681355611,0.0011085099673100226,0.05152097047828471,0.001104119447510416,0.022913266126046855,0.0005136751921960079,0.22464901218999578,0.004138753960868044,0.0669525010508617,0.002042927051375408,0.10039512400168138,0.0030442242991052656,0.1621689785624212,0.003059508738284133,0.04211853720050441,0.000848555048739507,3
Sports,mid,SASRec,6875,0.018197907505555593,0.0015804713170401807,0.008674151354114912,0.001079447282117196,0.010733892729107219,0.0013707528510116342,0.014128975493144513,0.0015113671823942852,0.006943435808169107,0.0008563530103876046,0.06826666666666666,0.0045472481309840876,0.0176,0.0018909090909090907,0.025793939393939397,0.00310719417600235,0.0431030303030303,0.0038930042504040385,0.01216969696969697,0.0013198213419458131,3
Sports,tail,SASRec,8484,0.009887608649155536,0.0009517719102713449,0.005148083011303025,0.00036540803060035884,0.0062465234428881545,0.000651621933351939,0.008123684572861495,0.0007426447012303781,0.0041390480362502894,0.00033451941729625834,0.03618576143328619,0.004021386635839692,0.011354706899261354,0.00098145497381713,0.015715857300015717,0.002249825287163352,0.025263240609775264,0.002704143769852234,0.00821153543925821,0.0008846715581642074,3
Toys,all,CANDSSASRec,19412,0.07924121214768713,0.0006496098408046161,0.049537436264413204,0.00131354264988075,0.058701679982260835,0.0007683379876687919,0.07058332659397575,0.0007580689264097201,0.040104947044081594,0.0018096610384786493,0.24538086407033452,0.004828187429631607,0.09550793323717288,0.0024156962884181645,0.13180850333127278,0.0040658420460055735,0.19197747098014975,0.004493689098704277,0.06624768184628066,0.0011179957971466465,3
Toys,head,CANDSSASRec,9927,0.10433680091741941,0.00047720266870381474,0.06681215798773027,0.0013589010585949013,0.07852874361881457,0.0005105419921092287,0.09364794613978016,0.0004157455670468459,0.0555854794610784,0.0015734728249161137,0.31345488734427995,0.006559669779095584,0.12440817971189684,0.0033150967405871467,0.17088076290252174,0.006162447211751567,0.2474732211812901,0.006848770423446776,0.08955374231892817,0.002570232864344326,3
Toys,mid,CANDSSASRec,3913,0.06968633778395807,0.0008690521761694172,0.04439951534401424,0.0005536223541686274,0.053198658270895836,0.000587814118662905,0.06254918748289817,0.0006164411211918911,0.03497973735437552,0.0012207832724391837,0.21432830735156316,0.005761883149530911,0.08842320470227448,0.0035133470699891456,0.12317914643496038,0.005336215951398181,0.17028707726382145,0.004232816508665081,0.05937473379333844,0.0011523766299061837,3
Toys,tail,CANDSSASRec,5227,0.043963334179271514,0.0015839508893204198,0.0238456316968554,0.002138584944467853,0.029040716299533118,0.0021244858361407527,0.03745272697380506,0.001999595244174823,0.017188533602815245,0.002826077599252729,0.1555385498373828,0.0026509291104937823,0.05222881193801415,0.0011947576044381838,0.07276321663159237,0.0010878593271622945,0.11549008354059054,0.0035552222089831917,0.03150309291499267,0.00306899034896141,3
Toys,all,SASRec,19412,0.06503282195828068,0.0015553689074420168,0.04113069661005039,0.0003373115841091658,0.04780493952132375,0.0006253005770388711,0.05753565038219558,0.0012655549735696857,0.03387816703016527,0.0006978693701725822,0.19709458067174945,0.01176032765037792,0.0749192939075486,0.004761216987511796,0.10141493234425442,0.006674925812627974,0.15074867779380452,0.010162385716633322,0.05242461707534859,0.0030320723053817037,3
Toys,head,SASRec,9927,0.08387954989641122,0.0012413065097174184,0.051508723800158945,0.00014525496623890441,0.06055585248089518,0.0010420950665351821,0.0739870224131552,0.0013593223657480825,0.042217459947903456,0.0007354706073211225,0.2591249454350089,0.01106179537962402,0.09391894160706492,0.006541855430953008,0.12994862496222426,0.010051855381962507,0.19797857694503207,0.011866409735341522,0.06507504784929989,0.004014275983715379,3
Toys,mid,SASRec,3913,0.05755994034821114,0.0016476189733667921,0.03786380616015317,0.0008220563322684464,0.043723330998125365,0.001607940278324566,0.051241248337399216,0.0012855548872318877,0.030370755766834862,0.0011143210486585363,0.17199079989777663,0.012253485402235476,0.07181190902121136,0.002227906436770085,0.09489735071130419,0.004075602253652166,0.1330607377119005,0.009179966796863831,0.04864128119942074,0.0019181072066100512,3
